year,age,name,movie,gender
1927,44,Emil Jannings,"The Last Command, The Way of All Flesh",M
1927,22,Janet Gaynor,"Seventh Heaven, Street Angel and Sunrise: A Song of Two Humans",F
1928,41,Warner Baxter,In Old Arizona,M
1928,37,Mary Pickford,Coquette,F
1929,62,George Arliss,Disraeli,M
1929,28,Norma Shearer,The Divorcee,F
1930,63,Marie Dressler,Min and Bill,F
1930,53,Lionel Barrymore,A Free Soul,M
1931,32,Helen Hayes,The Sin of Madelon Claudet,F
1931,47,Wallace Beery,The Champ,M
1932,26,Katharine Hepburn,Morning Glory,F
1932,35,Fredric March,Dr. Jekyll and Mr. Hyde,M
1933,31,Claudette Colbert,It Happened One Night,F
1933,34,Charles Laughton,The Private Life of Henry VIII,M
1934,27,Bette Davis,Dangerous,F
1934,34,Clark Gable,It Happened One Night,M
1935,49,Victor McLaglen,The Informer,M
1935,27,Luise Rainer,The Great Ziegfeld,F
1936,28,Luise Rainer,The Good Earth,F
1936,41,Paul Muni,The Story of Louis Pasteur,M
1937,37,Spencer Tracy,Captains Courageous,M
1937,30,Bette Davis,Jezebel,F
1938,38,Spencer Tracy,Boys Town,M
1938,26,Vivien Leigh,Gone with the Wind,F
1939,29,Ginger Rogers,Kitty Foyle,F
1939,34,Robert Donat,"Goodbye, Mr. Chips",M
1940,32,James Stewart,The Philadelphia Story,M
1940,24,Joan Fontaine,Suspicion,F
1941,38,Greer Garson,Mrs. Miniver,F
1941,40,Gary Cooper,Sergeant York,M
1942,25,Jennifer Jones,The Song of Bernadette,F
1942,43,James Cagney,Yankee Doodle Dandy,M
1943,29,Ingrid Bergman,Gaslight,F
1943,48,Paul Lukas,Watch on the Rhine,M
1944,41,Bing Crosby,Going My Way,M
1944,40,Joan Crawford,Mildred Pierce,F
1945,30,Olivia de Havilland,To Each His Own,F
1945,39,Ray Milland,The Lost Weekend ,M
1946,49,Fredric March,The Best Years of Our Lives,M
1946,35,Loretta Young,The Farmer's Daughter,F
1947,57,Ronald Colman,A Double Life,M
1947,32,Jane Wyman,Johnny Belinda,F
1948,33,Olivia de Havilland,The Heiress,F
1948,41,Laurence Olivier,Hamlet,M
1949,29,Judy Holliday,Born Yesterday,F
1949,38,Broderick Crawford,All the King's Men,M
1950,38,Vivien Leigh,A Streetcar Named Desire,F
1950,39,José Ferrer,Cyrano de Bergerac,M
1951,54,Shirley Booth,"Come Back, Little Sheba",F
1951,52,Humphrey Bogart,The African Queen,M
1952,24,Audrey Hepburn,Roman Holiday,F
1952,51,Gary Cooper,High Noon,M
1953,25,Grace Kelly,The Country Girl,F
1953,35,William Holden,Stalag 17,M
1954,48,Anna Magnani,The Rose Tattoo,F
1954,30,Marlon Brando,On the Waterfront,M
1955,39,Ernest Borgnine,Marty,M
1955,41,Ingrid Bergman,Anastasia,F
1956,36,Yul Brynner,The King and I,M
1956,28,Joanne Woodward,The Three Faces of Eve,F
1957,43,Alec Guinness,The Bridge on the River Kwai,M
1957,41,Susan Hayward,I Want to Live!,F
1958,39,Simone Signoret,Room at the Top,F
1958,49,David Niven,Separate Tables,M
1959,36,Charlton Heston,Ben-Hur,M
1959,29,Elizabeth Taylor,BUtterfield 8,F
1960,47,Burt Lancaster,Elmer Gantry,M
1960,27,Sophia Loren,Two Women,F
1961,31,Anne Bancroft,The Miracle Worker,F
1961,31,Maximilian Schell,Judgment at Nuremberg,M
1962,47,Gregory Peck,To Kill a Mockingbird,M
1962,31,Patricia Neal,Hud,F
1963,37,Sidney Poitier,Lilies of the Field,M
1963,29,Julie Andrews,Mary Poppins,F
1964,57,Rex Harrison,My Fair Lady,M
1964,25,Julie Christie,Darling,F
1965,42,Lee Marvin,Cat Ballou,M
1965,35,Elizabeth Taylor,Who's Afraid of Virginia Woolf?,F
1966,45,Paul Scofield,A Man for All Seasons,M
1966,60,Katharine Hepburn,Guess Who's Coming to Dinner,F
1967,61,Katharine Hepburn,The Lion in Winter,F
1967,42,Rod Steiger,In the Heat of the Night,M
1968,26,Barbra Streisand,Funny Girl,F
1968,45,Cliff Robertson,Charly,M
1969,35,Maggie Smith,The Prime of Miss Jean Brodie,F
1969,62,John Wayne,True Grit,M
1970,43,George C. Scott,Patton,M
1970,34,Glenda Jackson,Women in Love,F
1971,42,Gene Hackman,The French Connection,M
